artist,minimum,LF,RF,maximum,na.rm,out.of.range,unusual,description,feature
All Get Out,0.957043528557,0.993385113776875,1.001322977244625,1,TRUE,FALSE,FALSE,Within Range,silence_rate_30dB
Manchester Orchestra,0.892023265362,0.9531440138810001,1.009223997593,1,TRUE,FALSE,FALSE,Within Range,silence_rate_30dB
The Front Bottoms,0.935855090618,0.9482096731674999,1.0075471103184999,1,TRUE,FALSE,FALSE,Within Range,silence_rate_30dB
All Get Out,1,1,1,1,TRUE,FALSE,FALSE,Within Range,silence_rate_20dB
Manchester Orchestra,0.996236145496,1,1,1,TRUE,FALSE,FALSE,Within Range,silence_rate_20dB
The Front Bottoms,1,1,1,1,TRUE,FALSE,FALSE,Within Range,silence_rate_20dB
All Get Out,0.482898771763,0.47008696198425015,0.59497964382225,0.612852752209,TRUE,FALSE,FALSE,Within Range,pitch_salience
Manchester Orchestra,0.369207113981,0.4245289862170001,0.5899256169789999,0.613485217094,TRUE,FALSE,FALSE,Within Range,pitch_salience
The Front Bottoms,0.418056994677,0.384364247323,0.577240109443,0.59188169241,TRUE,FALSE,FALSE,Within Range,pitch_salience
All Get Out,12.1103105545,6.8070461750499955,36.4388625622,38.9212341309,TRUE,TRUE,FALSE,Out of Range,melbands_spread
Manchester Orchestra,4.95815515518,-4.19539785385,29.12740278245,39.4461860657,TRUE,FALSE,FALSE,Within Range,melbands_spread
The Front Bottoms,14.9669589996,10.688340187099994,29.4846143723,45.6108474731,TRUE,TRUE,TRUE,Out of Range,melbands_spread
All Get Out,1.58133244514,1.37421852351,3.051399886605,3.9068672657,TRUE,FALSE,TRUE,Unusual,melbands_skewness
Manchester Orchestra,1.60286509991,1.2582231759950002,3.574373602865,5.01490688324,TRUE,FALSE,TRUE,Unusual,melbands_skewness
The Front Bottoms,1.99788236618,1.9009102583000002,3.8053766489,4.2659702301,TRUE,FALSE,TRUE,Unusual,melbands_skewness
All Get Out,4.67259311676,-2.748116254868753,20.88903594022375,33.7888832092,TRUE,TRUE,TRUE,Out of Range,melbands_kurtosis
Manchester Orchestra,6.65489339828,-3.694663047750005,28.445422172550003,60.8496665955,TRUE,FALSE,TRUE,Unusual,melbands_kurtosis
The Front Bottoms,6.67332267761,1.3017578125499991,29.62718963625,569.309814453,TRUE,FALSE,TRUE,Unusual,melbands_kurtosis
All Get Out,0.135898038745,0.08318012394087504,0.252901984378625,0.325919121504,TRUE,TRUE,TRUE,Out of Range,melbands_flatness_db
Manchester Orchestra,0.137924492359,0.028480671345500003,0.39150447398449995,0.451513230801,TRUE,FALSE,FALSE,Within Range,melbands_flatness_db
The Front Bottoms,0.147953659296,0.14723350107650002,0.2418329566715,0.256404489279,TRUE,TRUE,TRUE,Out of Range,melbands_flatness_db
All Get Out,11.1353931427,11.314049601562498,15.515255093587502,17.179725647,TRUE,FALSE,TRUE,Unusual,melbands_crest
Manchester Orchestra,11.804186821,9.779361248099999,17.9173951149,22.1097335815,TRUE,FALSE,FALSE,Within Range,melbands_crest
The Front Bottoms,11.9126529694,10.175295352949998,17.769156932850002,19.2606964111,TRUE,FALSE,FALSE,Within Range,melbands_crest
All Get Out,-17.5582427979,-19.351896047688754,-5.549052476861249,-6.60537338257,TRUE,FALSE,FALSE,Within Range,loudness_ebu128_short_term
Manchester Orchestra,-26.817937851,-25.733573913605,-5.838930129995001,-6.59925127029,TRUE,FALSE,FALSE,Within Range,loudness_ebu128_short_term
The Front Bottoms,-12.7925567627,-11.27862262725,-7.2724523544299995,-6.48213243484,TRUE,TRUE,TRUE,Out of Range,loudness_ebu128_short_term
All Get Out,-18.3044204712,-20.140730142629998,-6.322308301919999,-6.98175144196,TRUE,FALSE,FALSE,Within Range,loudness_ebu128_momentary
Manchester Orchestra,-28.7853527069,-29.316084384905004,-5.6904578208949985,-7.12246084213,TRUE,FALSE,FALSE,Within Range,loudness_ebu128_momentary
The Front Bottoms,-13.9886875153,-13.366448879224999,-7.498413562775001,-6.73465442657,TRUE,TRUE,TRUE,Out of Range,loudness_ebu128_momentary
All Get Out,2.21633625031,-2.0461272001237507,11.75987422465875,16.3731803894,TRUE,FALSE,FALSE,Within Range,loudness_ebu128_loudness_range
Manchester Orchestra,2.63436317444,-4.737565279074998,15.313223123614998,22.8790397644,TRUE,FALSE,FALSE,Within Range,loudness_ebu128_loudness_range
The Front Bottoms,1.54096269608,-2.112534046165,8.104044437405001,11.3696079254,TRUE,TRUE,TRUE,Out of Range,loudness_ebu128_loudness_range
All Get Out,11.400636673,6.8197004794875,29.998153448062496,31.9640026093,TRUE,FALSE,FALSE,Within Range,hfc
Manchester Orchestra,5.37967014313,-1.8993620871999983,26.664653301199998,31.415391922,TRUE,FALSE,FALSE,Within Range,hfc
The Front Bottoms,17.0864086151,14.626332283,30.546854972800002,38.2548599243,TRUE,TRUE,TRUE,Out of Range,hfc
All Get Out,17.9357471466,25.777881145362493,43.951794147537505,44.6661911011,TRUE,FALSE,FALSE,Within Range,erbbands_spread
Manchester Orchestra,16.0857944489,4.889659881599993,45.98060989380001,62.5327262878,TRUE,FALSE,FALSE,Within Range,erbbands_spread
The Front Bottoms,30.337146759,30.91428184499999,50.460138321,53.5220375061,TRUE,FALSE,FALSE,Within Range,erbbands_spread
All Get Out,-0.434698283672,-0.8111475016925,0.572319669649,0.83578056097,TRUE,TRUE,TRUE,Out of Range,erbbands_skewness
Manchester Orchestra,-0.330092012882,-0.8592926263815,1.1193515062335,1.6736959219,TRUE,FALSE,TRUE,Unusual,erbbands_skewness
The Front Bottoms,-0.701558887959,-0.667590502649,0.481728304177,0.797529101372,TRUE,TRUE,TRUE,Out of Range,erbbands_skewness
All Get Out,-0.265074491501,-1.02663015946725,1.18576033040865,2.82641458511,TRUE,TRUE,TRUE,Out of Range,erbbands_kurtosis
Manchester Orchestra,-0.0982730835676,-2.1856111287999997,3.262711405748,8.78102302551,TRUE,FALSE,TRUE,Unusual,erbbands_kurtosis
The Front Bottoms,-0.18029999733,-0.928310565651,1.357986293733,6.21942281723,TRUE,TRUE,TRUE,Out of Range,erbbands_kurtosis
All Get Out,0.130642801523,0.11543910764124998,0.17303215898574997,0.281939983368,TRUE,FALSE,TRUE,Unusual,erbbands_flatness_db
Manchester Orchestra,0.122596643865,0.06312090903350001,0.2434573099025,0.305950015783,TRUE,FALSE,FALSE,Within Range,erbbands_flatness_db
The Front Bottoms,0.121074952185,0.1158779785045,0.1628701463335,0.185928940773,TRUE,TRUE,TRUE,Out of Range,erbbands_flatness_db
All Get Out,2.02467513084,-0.4024951756099999,6.045268684629999,7.95724439621,TRUE,FALSE,FALSE,Within Range,dynamic_complexity
Manchester Orchestra,1.96192359924,-0.8998186588150001,7.527282953255,13.2050952911,TRUE,FALSE,FALSE,Within Range,dynamic_complexity
The Front Bottoms,1.63315093517,1.0031341314400002,4.1967631578399995,6.5027141571,TRUE,FALSE,TRUE,Unusual,dynamic_complexity
All Get Out,0.396982818842,0.4362380839880001,0.48358906432999993,0.480492979288,TRUE,FALSE,TRUE,Unusual,dissonance
Manchester Orchestra,0.365194410086,0.36408309638549996,0.4857009798285,0.480991095304,TRUE,FALSE,FALSE,Within Range,dissonance
The Front Bottoms,0.432063788176,0.441626802087,0.47627888619900005,0.482941865921,TRUE,TRUE,TRUE,Out of Range,dissonance
All Get Out,8.65230083466,9.250622987699996,32.69707083705,34.6314277649,TRUE,FALSE,FALSE,Within Range,barkbands_spread
Manchester Orchestra,5.70304107666,-7.0097150802999995,29.1479787827,36.5107192993,TRUE,FALSE,FALSE,Within Range,barkbands_spread
The Front Bottoms,16.5248584747,11.086055755599997,31.523086547800002,44.7359542847,TRUE,TRUE,TRUE,Out of Range,barkbands_spread
